,PID,Title,Year,#Cited,Score
1,18847555,Overview of human papillomavirus-based and other novel options for cervical cancer screening in developed and developing countries.,2008,203,13.53
2,30119229,The human papillomavirus (HPV)-related cancer biology: An overview.,2018,44,8.8
3,26107345,An Overview of Quadrivalent Human Papillomavirus Vaccine Safety: 2006 to 2015.,2015,38,4.75
4,18980203,Using population-based cancer registry data to assess the burden of human papillomavirus-associated cancers in the United States: overview of methods.,2008,65,4.33
5,34765678,Overview of Candida albicans and Human Papillomavirus (HPV) Infection Agents and their Biomolecular Mechanisms in Promoting Oral Cancer in Pediatric Patients.,2021,7,3.5
6,20614323,The role of the human papillomavirus in the pathogenesis of Schneiderian inverted papillomas: an analytic overview of the evidence.,2008,49,3.27
7,21447181,The role of human papillomavirus in the pathogenesis of head &amp; neck squamous cell carcinoma: an overview.,2011,38,3.17
8,29980478,An overview of Human Papillomavirus (HPV) as an etiological factor of the anal cancer.,2019,12,3.0
9,27357515,Human papillomavirus and lung cancinogenesis: an overview.,2016,18,2.57
10,30584412,Current Status of Human Papillomavirus Infection and Introduction of Vaccination to the National Immunization Program in Korea: an Overview.,2018,11,2.2
11,31236668,Human papillomavirus and lung cancer: an overview and a meta-analysis.,2019,8,2.0
12,31738147,"Human Papillomavirus Infections, Cervical Cancer and MicroRNAs: An Overview and Implications for Public Health.",2020,6,2.0
13,20868401,"An overview of human papillomavirus infection for the dermatologist: disease, diagnosis, management, and prevention.",2010,20,1.54
14,27366761,Human papillomavirus (HPV) infection: a Mozambique overview.,2016,5,0.71
15,16211291,Prognostic value of human papillomavirus in the survival of head and neck cancer patients: an overview of the evidence.,2005,11,0.61
16,33569854,Overview of human papillomavirus vaccination policy changes and its impact in the United States: Lessons learned and challenges for the future.,2021,1,0.5
17,25216887,Human papillomavirus: a brief overview and recommendations for pharmacists.,2014,2,0.22
18,1338870,Prognostic value of human papillomavirus in the survival of cervical cancer patients: an overview of the evidence.,1992,1,0.03
19,26817243,Overview: Detection of Human Papillomavirus in Clinical Samples.,2016,0,0.0
20,2852565,Human papillomavirus (HPV) and its role in oral disease--an overview.,1987,0,0.0
21,36652131,Overview of genetic and epigenetic regulation of human papillomavirus and apoptosis in cervical cancer.,2023,0,
22,37218520,Human papillomavirus vaccination at the first opportunity: An overview.,2023,0,
23,36974487,Overview of organisational methods of primary cervical lesion screening programmes that use human papillomavirus testing.,2023,0,
24,36757581,Correction to: Overview of genetic and epigenetic regulation of human papillomavirus and apoptosis in cervical cancer.,2023,0,
